id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Requiem for the Lost,Ashen Strings,classical,melancholic,0.21,58,0.23,0.18,0.97
12,Block by Block,Crescent Ave,hip-hop,energetic,0.88,96,0.62,0.91,0.08
13,Island Horizon,Kaya Wave,reggae,peaceful,0.46,82,0.78,0.74,0.63
14,Dusty Roads Home,Ember Creek,country,nostalgic,0.53,104,0.67,0.61,0.81
15,Iron Cathedral,Void Hammer,metal,angry,0.97,180,0.19,0.38,0.04
16,Rainy Back Porch,Mudslide Eli,blues,gritty,0.55,74,0.41,0.52,0.88
17,Corazon Caliente,La Marea,latin,romantic,0.79,128,0.89,0.87,0.33
18,Wildflower Drift,Sparrow & Fenn,folk,dreamy,0.31,88,0.73,0.49,0.94
19,Golden Hour Glow,Sable James,r&b,uplifting,0.71,102,0.85,0.83,0.29
20,Synthetic Sunrise,Pulse Grid,electronic,euphoric,0.95,140,0.91,0.95,0.03
21,Velvet Hour,Mira Stone,soul,smooth,0.58,92,0.74,0.71,0.45
22,Ghost in the Machine,Static Heir,industrial,dark,0.84,128,0.22,0.48,0.06
23,Backyard Picnic,The Sun Drips,folk,dreamy,0.34,88,0.78,0.51,0.91
24,After Hours Glow,Penthouse Bloom,house,euphoric,0.86,124,0.82,0.92,0.04
25,Concrete Garden,Faded Crowns,punk,angry,0.93,168,0.34,0.45,0.05
26,Marble Skies,Lyra Pace,dream pop,dreamy,0.46,102,0.68,0.55,0.62
27,Boardwalk Lazy,Cocoa Tides,bossa nova,relaxed,0.32,86,0.71,0.6,0.78
28,Calle Vibrante,Ritmo Pleno,salsa,energetic,0.83,108,0.86,0.93,0.21
29,Neon Heartbeat,Glasshouse Twins,k-pop,happy,0.81,118,0.88,0.91,0.16
30,Cabin Smoke,River Mantle,indie folk,nostalgic,0.36,84,0.55,0.42,0.84
31,Mountains in Reverse,Echo Pavilion,post-rock,cinematic,0.62,96,0.42,0.31,0.34
32,Wired Teeth,Kilonova,dubstep,intense,0.95,140,0.31,0.74,0.02
33,Sunday Anthem,Choir of Brightleaf,gospel,uplifting,0.74,96,0.91,0.62,0.42
34,Loop the City,Tessellate,techno,hypnotic,0.88,132,0.51,0.86,0.03
35,Mercurio,Tropico Doce,reggaeton,romantic,0.79,94,0.81,0.94,0.11
36,Empty Coatroom,Eli Vesper,singer-songwriter,melancholic,0.31,82,0.28,0.36,0.92
37,Cassette Future,Atlas Pact,synth-pop,nostalgic,0.69,114,0.65,0.78,0.13
38,Brick Wall Sermon,Hot Fuse Garage,garage rock,gritty,0.86,144,0.45,0.52,0.08
39,All Stars Aligned,Auralis,trance,euphoric,0.91,138,0.87,0.83,0.05
40,Bedroom Skylight,Plum Honey,bedroom pop,intimate,0.42,92,0.62,0.58,0.71
41,Pavement Sermon,Stairwell Saints,drill,intense,0.92,148,0.21,0.68,0.04
42,Mirrorball Sunday,Velour Skyline,disco,happy,0.84,120,0.92,0.95,0.18
43,Geometry Class,Quiet Calculus,math rock,focused,0.71,124,0.51,0.42,0.22
44,Riot Bell,Concrete Choir,hardcore,angry,0.96,174,0.18,0.36,0.03
45,Tape Hiss Therapy,Bedside Lamp,chillhop,chill,0.39,82,0.61,0.64,0.66
46,Liquid Patio,Nighthold,trap soul,moody,0.61,92,0.41,0.72,0.32
47,Last Encore,Ferrum Tide,power ballad,triumphant,0.78,104,0.72,0.45,0.31
48,Coffee Window,LoRoom,lofi,focused,0.38,78,0.55,0.58,0.81
49,Festival Sunrise,Pulse Grid,edm,euphoric,0.96,128,0.93,0.94,0.02
50,Library of Light,Sparrow & Fenn,indie folk,hopeful,0.42,92,0.74,0.51,0.86
